,model,link,price,depreciation,reg_date,mileage,road_tax,coe,eng_cap,curb_weight,manufactured,transmission,omv,power,num_owners,type,category
4898,Mercedes-Benz E-Class E250,info.php?ID=946127&DL=1438,N.A ,                                N.A                            ,12-Jan-2015(4yrs 26days COE left)                            ,                                        N.A.                                     ,"                                    	$1,202 /yr","$71,990","1,991 cc                                    ","                                    1,680 kg                                    ",2014,Auto,"$49,580",155.0 kW (207 bhp),1,Luxury Sedan,"Category
PARF Car, Premium Ad Car "
4899,Mitsubishi Lancer 1.6A GLX (COE till 08/2021),info.php?ID=951301&DL=2050,"$5,800 ","                                $8,970 /yr                            ",10-Aug-2006(7mths 24days COE left)                            ,                                        N.A.                                     ,"                                    	$1,101 /yr","$25,759","1,584 cc                                    ","                                    1,162 kg                                    ",2006,Auto,"$11,826",79.0 kW (105 bhp),4,Mid-Sized Sedan,"Category
COE Car "
4900,Mercedes-Benz S-Class S350L (New 10-yr COE),info.php?ID=951277&DL=3520,"$103,800 ","                                $10,370 /yr                            ",23-Dec-2010(10yrs  COE left)                            ,                                        N.A.                                     ,"                                    	$3,164 /yr",N.A.,"3,498 cc                                    ","                                    1,850 kg                                    ",2010,Auto,"$102,322",200.0 kW (268 bhp),2,Luxury Sedan,"Category
COE Car, Premium Ad Car "
4901,MINI Cooper Countryman 1.6A,info.php?ID=951272&DL=2759,"$48,800 ","                                $15,040 /yrView models with similar depre ",05-Apr-2013(2yrs 3mths 19days COE left)                            ,"                                        60,000 km (7.8k /yr)                                     ",                                    	$742 /yr,"$64,209","1,598 cc                                    ","                                    1,295 kg                                    ",2012,Auto,"$26,051",88.0 kW (118 bhp),2,Hatchback,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
4902,Mitsubishi Lancer EX 1.5A GLS (COE till 02/2024),info.php?ID=949920&DL=2266,N.A ,                                N.A                            ,27-Feb-2009(3yrs 2mths 10days COE left)                            ,                                        N.A.                                     ,                                    	$821 /yr,"$12,864","1,499 cc                                    ","                                    1,313 kg                                    ",2008,Auto,"$19,938",80.0 kW (107 bhp),4,Mid-Sized Sedan,"Category
COE Car "
4903,Mercedes-Benz E-Class E200 Avantgarde,info.php?ID=945017&DL=1438,"$72,800 ","                                $17,090 /yrView models with similar depre ",23-Sep-2013(2yrs 9mths 6days COE left)                            ,"                                        110,000 km (15.2k /yr)                                     ","                                    	$1,202 /yr","$77,100","1,991 cc                                    ","                                    1,655 kg                                    ",2013,Auto,"$45,741",135.0 kW (181 bhp),2,Luxury Sedan,"Category
PARF Car, Premium Ad Car "
4904,Hyundai Elantra 1.6A GLS Elite,info.php?ID=940864&DL=2189,"$47,800 ","                                $8,260 /yrView models with similar depre ",04-Nov-2015(4yrs 10mths 18days COE left)                            ,"                                        55,000 km (10.7k /yr)                                     ",                                    	$738 /yr,"$55,399","1,591 cc                                    ","                                    1,292 kg                                    ",2015,Auto,"$14,868",97.0 kW (130 bhp),1,Mid-Sized Sedan,"Category
PARF Car "
4905,Kia Cerato 1.6A LX (OPC),info.php?ID=951299&DL=1015,"$58,800 ","                                $6,830 /yrView models with similar depre ",01-Oct-2018(7yrs 9mths 14days COE left)                            ,"                                        4,590 km (2.1k /yr)                                     ",                                    	$238 /yr,"$13,209","1,591 cc                                    ","                                    1,287 kg                                    ",2018,Auto,"$11,167",93.8 kW (125 bhp),1,Mid-Sized Sedan,"Category
OPC Car, PARF Car, Low Mileage Car "
4906,Nissan Latio 1.5A (COE till 08/2022),info.php?ID=951234&DL=1000,"$11,800 ","                                $6,910 /yr                            ",29-Sep-2007(1yr 8mths 15days COE left)                            ,                                        N.A.                                     ,                                    	$958 /yr,"$22,700","1,498 cc                                    ","                                    1,110 kg                                    ",2007,Auto,"$13,072",80.0 kW (107 bhp),3,Mid-Sized Sedan,"Category
COE Car, Direct Owner Sale "
4907,Lexus IS300 Executive,info.php?ID=936950&DL=3662,"$128,000 ","                                $14,120 /yrView models with similar depre ",25-May-2018(7yrs 5mths 8days COE left)                            ,"                                        47,900 km (18.7k /yr)                                     ","                                    	$1,210 /yr","$38,389","1,998 cc                                    ","                                    1,620 kg                                    ",2018,Auto,"$38,430",180.0 kW (241 bhp),1,Luxury Sedan,"Category
PARF Car, Premium Ad Car "
4908,Toyota Corolla Altis 1.6A (COE till 05/2022),info.php?ID=951294&DL=2741,"$10,800 ","                                $7,540 /yr                            ",24-May-2007(1yr 5mths 7days COE left)                            ,                                        N.A.                                     ,"                                    	$1,039 /yr","$25,333","1,598 cc                                    ","                                    1,115 kg                                    ",2006,Auto,"$15,355",81.0 kW (108 bhp),3,Mid-Sized Sedan,"Category
COE Car "
4909,Toyota Alphard 2.5A SC Moonroof,info.php?ID=951249&DL=1000,"$160,000 ","                                $17,170 /yrView models with similar depre ",17-Aug-2018(7yrs 8mths  COE left)                            ,"                                        33,334 km (14.3k /yr)                                     ","                                    	$1,792 /yr","$38,501","2,493 cc                                    ","                                    2,030 kg                                    ",2018,Auto,"$46,164",134.0 kW (179 bhp),1,MPV,"Category
PARF Car, Direct Owner Sale "
4910,Toyota Premio 1.5A F (COE till 02/2024),info.php?ID=926765&DL=2266,"$25,800 ","                                $8,070 /yr                            ",27-Feb-2009(3yrs 2mths 10days COE left)                            ,"                                        133,399 km (11.3k /yr)                                     ",                                    	$818 /yr,"$12,864","1,496 cc                                    ","                                    1,200 kg                                    ",2008,Auto,"$18,633",81.0 kW (108 bhp),4,Mid-Sized Sedan,"Category
COE Car "
4911,Toyota Prius Hybrid 1.8A S,info.php?ID=951293&DL=1292,"$68,800 ","                                $9,950 /yrView models with similar depre ",15-Aug-2017(6yrs 7mths 29days COE left)                            ,                                        N.A.                                     ,                                    	$974 /yr,"$53,711","1,797 cc                                    ","                                    1,360 kg                                    ",2017,Auto,"$29,529",90.0 kW (120 bhp),1,Hatchback,"Category
PARF Car, Hybrid Cars "
4912,Volkswagen Golf R 5DR Sunroof (COE till 03/2030),info.php?ID=951261&DL=3465,"$90,588 ","                                $9,750 /yr                            ",07-Jul-2010(9yrs 3mths 15days COE left)                            ,"                                        165,000 km (15.8k /yr)                                     ","                                    	$1,313 /yr","$35,416","1,984 cc                                    ","                                    1,466 kg                                    ",2010,Auto,"$37,866",188.0 kW (252 bhp),5,Sports Car,"Category
COE Car, Premium Ad Car "
4913,Bentley Flying Spur 4.0A V8,info.php?ID=951256&DL=2011,N.A ,                                N.A                            ,19-Dec-2014(4yrs 2days COE left)                            ,                                        N.A.                                     ,"                                    	$3,940 /yr","$74,801","3,993 cc                                    ","                                    2,417 kg                                    ",2014,Auto,"$200,060",373.0 kW (500 bhp),1,Luxury Sedan,"Category
PARF Car, Rare & Exotic, Low Mileage Car "
4914,Lexus ES250 Executive Sunroof,info.php?ID=948411&DL=1229,"$162,800 ","                                $15,370 /yrView models with similar depre ",23-Dec-2019(9yrs 6days COE left)                            ,"                                        19,750 km                                     ","                                    	$1,784 /yr","$36,000","2,487 cc                                    ","                                    1,620 kg                                    ",2019,Auto,"$40,126",152.0 kW (203 bhp),1,Luxury Sedan,"Category
PARF Car, Almost New Car, Premium Ad Car, STA Evaluated Car "
4915,Toyota C-HR Hybrid 1.8A S,info.php?ID=951290&DL=1127,"$71,800 ","                                $10,370 /yrView models with similar depre ",22-Aug-2017(6yrs 8mths 5days COE left)                            ,                                        N.A.                                     ,                                    	$974 /yr,"$53,711","1,797 cc                                    ","                                    1,440 kg                                    ",2017,Auto,"$28,118",90.0 kW (120 bhp),1,SUV,"Category
PARF Car, Hybrid Cars "
4916,Mazda 5 2.0A Sunroof,info.php?ID=951287&DL=1292,"$58,000 ","                                $9,310 /yrView models with similar depre ",26-Feb-2016(5yrs 2mths 9days COE left)                            ,                                        N.A.                                     ,"                                    	$1,210 /yr","$45,009","1,998 cc                                    ","                                    1,535 kg                                    ",2016,Auto,"$19,196",111.0 kW (148 bhp),1,MPV,"Category
PARF Car "
4917,Ferrari 458 Spider,info.php?ID=951285&DL=3003,"$538,000 ","                                $150,630 /yrView models with similar depre ",26-Feb-2013(2yrs 2mths 9days COE left)                            ,"                                        50,000 km (6.4k /yr)                                     ","                                    	$4,728 /yr","$95,501","4,497 cc                                    ","                                    1,565 kg                                    ",2013,Auto,"$414,872",416.0 kW (557 bhp),1,Sports Car,"Category
PARF Car, Rare & Exotic, Low Mileage Car "
4918,Honda Odyssey 2.4A Sunroof (COE till 10/2029),info.php?ID=951260&DL=1198,"$55,800 ","                                $6,280 /yr                            ",23-Nov-2009(8yrs 10mths 15days COE left)                            ,"                                        178,153 km (16.1k /yr)                                     ","                                    	$1,791 /yr","$37,502","2,354 cc                                    ","                                    1,680 kg                                    ",2009,Auto,"$33,532",132.0 kW (177 bhp),2,MPV,"Category
COE Car, Premium Ad Car "
4919,Suzuki Swift 1.5A (COE till 03/2029),info.php?ID=951097&DL=3175,"$42,800 ","                                $5,160 /yr                            ",28-Apr-2009(8yrs 3mths 15days COE left)                            ,"                                        65,000 km (5.6k /yr)                                     ",                                    	$816 /yr,"$25,525","1,490 cc                                    ","                                    1,060 kg                                    ",2009,Auto,"$13,556",74.0 kW (99 bhp),3,Hatchback,"Category
COE Car, Premium Ad Car, Low Mileage Car "
4920,Audi A6 3.0A TFSI Quattro S-tronic,info.php?ID=951080&DL=2003,"$149,999 ","                                $17,320 /yrView models with similar depre ",29-Nov-2016(5yrs 11mths 12days COE left)                            ,"                                        97,000 km (24k /yr)                                     ","                                    	$2,380 /yr","$56,206","2,995 cc                                    ","                                    1,825 kg                                    ",2016,Auto,"$67,625",245.0 kW (328 bhp),1,Luxury Sedan,"Category
PARF Car, Premium Ad Car "
